event_id,country_name,iso_code,admin_division,disease_name,disease_subtype,disease_group,causal_agent_type,species_name,is_wild,epi_unit_type,is_domestic,is_aquatic,latitude,longitude,location_approx,event_started_on,event_confirmed_on,event_ended_on,outbreak_start_date,outbreak_end_date,last_occurrence,reported_on,susceptible,cases,deaths,killed,slaughtered,vaccinated,intervention_quarantine_applied,intervention_movement_control_applied,intervention_stamping_out_applied,intervention_disinfection_applied,intervention_surveillance_applied,intervention_screening_applied,intervention_disposal_applied,intervention_vaccination_applied,intervention_zoning_applied,intervention_vector_control_applied,intervention_wildlife_control_applied,intervention_traceability_applied,intervention_treatment_applied,intervention_slaughter_applied,intervention_count,lab_test_performed,diagnostic_method_types,event_status,reason_type
1234,"Ireland","IRL","Galway","Contagious equine metritis ",null,"Equidae","Bacterium","Equidae",0,"Farm",0,0,53.280616,-8.970725,0,"2012-04-26T00:00:00.000+00:00","2012-04-26T00:00:00.000+00:00","2012-07-25T00:00:00.000+00:00","2012-04-26T00:00:00.000+00:00","2012-07-25T00:00:00.000+00:00","1982-12-31T00:00:00.000+00:00","2012-07-27T00:00:00.000+00:00",71,2,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,8,4,"Diagnostic test","Resolved","Recurrence"
1235,"Mexico","MEX","San Luis Potosi","Small hive beetle Inf. (Aethina tumida)(2006-)",null,"Apidae","Parasite","Bees",0,"Apiary",1,0,21.460061,-98.9339,0,"2012-04-17T00:00:00.000+00:00","2012-04-18T00:00:00.000+00:00","2012-09-26T00:00:00.000+00:00","2012-04-17T00:00:00.000+00:00","2012-09-26T00:00:00.000+00:00",null,"2013-04-15T00:00:00.000+00:00",52,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,6,1,"Diagnostic test","Resolved","First occurrence"
1236,"United States of America","USA","New Mexico","Vesicular stomatitis (-2014)","New Jersey","Multiple species","Virus","Equidae",0,"Farm",0,0,35.6522,-105.2766,0,"2012-04-18T00:00:00.000+00:00","2012-04-20T00:00:00.000+00:00","2012-12-24T00:00:00.000+00:00","2012-10-19T00:00:00.000+00:00","2012-12-24T00:00:00.000+00:00","2010-07-02T00:00:00.000+00:00","2012-12-27T00:00:00.000+00:00",271,51,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,"Diagnostic test","Resolved","Recurrence"
1237,"South Africa","ZAF","Western Cape Province","Low pathogenic avian influenza (poultry)(2006-)","H5N2","Aves","Virus","Birds",0,"Farm",1,0,-33.54408,22.73692,0,"2012-01-13T00:00:00.000+00:00","2012-02-03T00:00:00.000+00:00","2012-05-11T00:00:00.000+00:00","2012-01-13T00:00:00.000+00:00","2012-05-11T00:00:00.000+00:00","2008-09-30T00:00:00.000+00:00","2012-05-11T00:00:00.000+00:00",2407,622,0,0,2407,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,1,"Diagnostic test","Resolved","Recurrence"
1238,"Italy","ITA","Veneto","Koi herpesvirus disease ",null,"Diseases of fish","Virus","Common carp",0,"Farm",0,1,45.363869,12.136219,0,"2012-04-20T00:00:00.000+00:00","2012-04-27T00:00:00.000+00:00","2012-07-10T00:00:00.000+00:00","2012-04-20T00:00:00.000+00:00","2012-07-10T00:00:00.000+00:00",null,"2012-07-13T00:00:00.000+00:00",3288,3288,88,3200,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,8,2,"Diagnostic test|Clinical|Suspicion","Resolved","First occurrence"
1239,"Guatemala","GTM","Suchitepequez","Classical swine fever ",null,"Suidae","Virus","Swine",0,"Farm",0,0,14.6262,-91.5248,0,"2012-03-23T00:00:00.000+00:00","2012-05-09T00:00:00.000+00:00","2013-06-10T00:00:00.000+00:00","2012-10-03T00:00:00.000+00:00","2013-06-10T00:00:00.000+00:00","2011-12-14T00:00:00.000+00:00","2013-06-10T00:00:00.000+00:00",449,84,28,69,352,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,8,6,"Diagnostic test|Necropsy|Suspicion|Clinical","Resolved","Recurrence"
1240,"Sweden","SWE","Västra Götalands Län","Koi herpesvirus disease ",null,"Diseases of fish","Virus","Common carp",0,"Village",0,1,58.13972,12.00167,0,"2012-05-10T00:00:00.000+00:00","2012-05-16T00:00:00.000+00:00","2012-06-29T00:00:00.000+00:00","2012-05-10T00:00:00.000+00:00","2012-06-29T00:00:00.000+00:00","2011-10-07T00:00:00.000+00:00","2012-06-29T00:00:00.000+00:00",37,12,12,25,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6,1,"Diagnostic test","Resolved","Recurrence"
1241,"Ukraine","UKR","Cherkassy","Anthrax ",null,"Multiple species","Bacterium","Cattle",0,"Village",0,0,49.0017,31.3952,0,"2012-05-13T00:00:00.000+00:00","2012-05-15T00:00:00.000+00:00","2012-05-14T00:00:00.000+00:00","2012-05-13T00:00:00.000+00:00","2012-05-14T00:00:00.000+00:00",null,"2012-05-18T00:00:00.000+00:00",1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,"Diagnostic test","Resolved","First occurrence"
1242,"Panama","PAN",null,"New world screwworm (Cochliomyia hominivorax) ",null,"Multiple species","Parasite",null,null,null,0,0,null,null,null,"2012-02-11T00:00:00.000+00:00","2012-04-28T00:00:00.000+00:00","2012-08-21T00:00:00.000+00:00",null,null,null,"2012-08-21T00:00:00.000+00:00",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,8,1,"Diagnostic test","Resolved","Unexpected change or increase"
1243,"Norway","NOR","More Og Romsdal","Infectious salmon anaemia ",null,"Diseases of fish","Virus","Atlantic salmon",0,"Farm",0,1,62.7384,7.8973,0,"2012-05-21T00:00:00.000+00:00","2012-05-21T00:00:00.000+00:00","2012-05-21T00:00:00.000+00:00","2012-05-21T00:00:00.000+00:00","2012-05-21T00:00:00.000+00:00",null,"2013-01-24T00:00:00.000+00:00",10000,50,50,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,28,3,"Diagnostic test|Necropsy","Resolved","First occurrence"
1244,"Brazil","BRA","Rio Grande Do Sul","Glanders ",null,"Equidae","Bacterium","Equidae",0,"Farm",0,0,-29.2633,-51.5748,0,"2012-04-02T00:00:00.000+00:00","2012-05-02T00:00:00.000+00:00","2015-10-28T00:00:00.000+00:00","2015-06-01T00:00:00.000+00:00","2015-10-28T00:00:00.000+00:00","2010-04-27T00:00:00.000+00:00","2015-10-28T00:00:00.000+00:00",6989,291,9,162,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8,12,"Diagnostic test|Clinical","Stable","Recurrence"
1245,"Belgium","BEL","Liège","Equine infectious anaemia ",null,"Equidae","Virus","Equidae",0,"Farm",0,0,50.36,5.35,0,"2012-05-10T00:00:00.000+00:00","2012-05-15T00:00:00.000+00:00","2013-03-29T00:00:00.000+00:00","2012-12-06T00:00:00.000+00:00","2013-03-29T00:00:00.000+00:00","2010-12-31T00:00:00.000+00:00","2013-05-08T00:00:00.000+00:00",66,4,0,4,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,1,"Diagnostic test|Clinical|Suspicion","Resolved","Recurrence"
1246,"South Africa","ZAF","Western Cape Province","Low pathogenic avian influenza (poultry)(2006-)","H7N1","Aves","Virus","Birds",0,"Farm",1,0,-34.17161,21.54875,0,"2012-02-24T00:00:00.000+00:00","2012-06-01T00:00:00.000+00:00","2013-06-14T00:00:00.000+00:00","2012-04-16T00:00:00.000+00:00","2012-08-30T00:00:00.000+00:00","2012-01-13T00:00:00.000+00:00","2013-12-23T00:00:00.000+00:00",10491,2410,90,0,7828,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,10,1,"Diagnostic test","Resolved","Recurrence"
1247,"Colombia","COL","La Guajira","Anthrax ",null,"Multiple species","Bacterium","Cattle",0,"Farm",0,0,11.32188,-72.32115,0,"2012-05-15T00:00:00.000+00:00","2012-05-25T00:00:00.000+00:00","2012-07-30T00:00:00.000+00:00","2012-05-21T00:00:00.000+00:00","2012-07-30T00:00:00.000+00:00","2011-04-30T00:00:00.000+00:00","2012-10-01T00:00:00.000+00:00",6,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6,1,"Diagnostic test|Clinical","Resolved","Recurrence"
1248,"Belgium","BEL","Namur","Brucellosis (Brucella suis) ",null,"Multiple species","Bacterium","Cattle",0,"Farm",0,0,50.25,4.67,0,"2012-04-10T00:00:00.000+00:00","2012-04-18T00:00:00.000+00:00","2012-07-17T00:00:00.000+00:00","2012-04-10T00:00:00.000+00:00","2012-07-17T00:00:00.000+00:00","2011-12-31T00:00:00.000+00:00","2013-05-08T00:00:00.000+00:00",213,1,0,0,213,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,10,2,"Diagnostic test","Resolved","Recurrence"
1249,"Italy","ITA","Marche","Newcastle disease ",null,"Aves","Virus","Birds",0,"Farm",0,0,43.22199,13.38637,0,"2012-04-27T00:00:00.000+00:00","2012-05-16T00:00:00.000+00:00","2012-07-31T00:00:00.000+00:00","2012-04-29T00:00:00.000+00:00","2012-07-31T00:00:00.000+00:00","2012-03-31T00:00:00.000+00:00","2012-08-09T00:00:00.000+00:00",204,18,11,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,"Diagnostic test|Clinical|Suspicion","Resolved","Recurrence"
1250,"Cambodia","KHM","Kg. Speu","Highly pathogenic avian influenza ","H5N1","Aves","Virus","Birds",0,"Village",0,0,11.17,104.54,0,"2012-05-27T00:00:00.000+00:00","2012-05-30T00:00:00.000+00:00","2012-06-11T00:00:00.000+00:00","2012-05-27T00:00:00.000+00:00","2012-06-11T00:00:00.000+00:00","2011-11-07T00:00:00.000+00:00","2012-06-11T00:00:00.000+00:00",1304,564,564,740,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,8,2,"Necropsy|Diagnostic test|Suspicion|Clinical","Resolved","Recurrence"
1251,"Chinese Taipei","TWN","Pingtung County","Foot and mouth disease ","O","Multiple species","Virus","Swine",0,"Farm",0,0,22.5984772,120.4967119,0,"2012-05-01T00:00:00.000+00:00","2012-05-01T00:00:00.000+00:00","2012-06-06T00:00:00.000+00:00","2012-05-01T00:00:00.000+00:00","2012-06-06T00:00:00.000+00:00","2012-04-19T00:00:00.000+00:00","2012-07-23T00:00:00.000+00:00",900,15,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,8,5,"Diagnostic test","Resolved","Recurrence"
1252,"Botswana","BWA","Ngamiland","Foot and mouth disease ","SAT 2","Multiple species","Virus","Cattle",0,"Village",0,0,-19.8281,22.3641,0,"2012-05-23T00:00:00.000+00:00","2012-06-11T00:00:00.000+00:00","2014-05-20T00:00:00.000+00:00","2013-01-10T00:00:00.000+00:00","2014-05-20T00:00:00.000+00:00","2012-05-15T00:00:00.000+00:00","2014-05-20T00:00:00.000+00:00",506402,148,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,8,4,"Diagnostic test|Clinical","Resolved","Recurrence"
1253,"United States of America","USA","Hawaii","White spot disease ",null,"Diseases of crustaceans","Virus","Pacific whiteleg shrimp",0,"Pond",0,1,21.57,-158.13,0,"2012-05-29T00:00:00.000+00:00","2012-06-06T00:00:00.000+00:00","2012-10-15T00:00:00.000+00:00","2012-05-29T00:00:00.000+00:00","2012-10-15T00:00:00.000+00:00","2012-02-09T00:00:00.000+00:00","2012-10-25T00:00:00.000+00:00",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6,1,"Diagnostic test","Resolved","Recurrence"
1254,"Norway","NOR","Aust-Agder","European foulbrood of honey bees ",null,"Apidae","Bacterium","Bees",0,"Apiary",1,0,58.55,7.77,0,"2012-06-13T00:00:00.000+00:00","2012-06-13T00:00:00.000+00:00","2016-06-17T00:00:00.000+00:00","2015-05-19T00:00:00.000+00:00","2016-06-17T00:00:00.000+00:00","2011-12-16T00:00:00.000+00:00","2016-06-30T00:00:00.000+00:00",75,47,0,25,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6,2,"Diagnostic test|Clinical","Resolved","Recurrence"
1255,"Chile","CHL","Atacama","Enzootic abortion of ewes (ovine chlamydiosis) ",null,"Caprinae","Bacterium","Goats",0,"Farm",0,0,-25.7986,-70.2745,0,"2012-01-15T00:00:00.000+00:00","2012-06-08T00:00:00.000+00:00","2012-11-21T00:00:00.000+00:00","2012-06-15T00:00:00.000+00:00","2012-09-13T00:00:00.000+00:00","2010-12-31T00:00:00.000+00:00","2013-05-06T00:00:00.000+00:00",640,38,10,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,6,1,"Diagnostic test|Clinical|Suspicion","Resolved","Recurrence"
1256,"Croatia","HRV","Licko-Senjska","Anthrax ",null,"Multiple species","Bacterium","Cattle",0,"Farm",0,0,44.477455,16.088891,0,"2012-06-15T00:00:00.000+00:00","2012-06-18T00:00:00.000+00:00","2012-08-31T00:00:00.000+00:00","2012-06-15T00:00:00.000+00:00","2012-08-31T00:00:00.000+00:00","2011-12-19T00:00:00.000+00:00","2012-08-31T00:00:00.000+00:00",6,2,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,6,1,"Diagnostic test","Resolved","Recurrence"
1257,"Mexico","MEX","Jalisco","Highly pathogenic avian influenza ","H7N3","Aves","Virus","Birds",0,"Not applicable",0,0,20.81,-102.77,0,"2012-06-13T00:00:00.000+00:00","2012-06-21T00:00:00.000+00:00","2012-09-29T00:00:00.000+00:00","2012-09-28T00:00:00.000+00:00","2012-09-29T00:00:00.000+00:00","1995-06-30T00:00:00.000+00:00","2012-12-12T00:00:00.000+00:00",11400799,2872873,1177169,10223630,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,14,3,"Diagnostic test","Resolved","Recurrence"
1258,"Albania","ALB","Kukës","Rabies ",null,"Multiple species","Virus","Cats",0,"Village",0,0,41.9831,20.4,0,"2012-06-09T00:00:00.000+00:00","2012-06-20T00:00:00.000+00:00","2012-07-16T00:00:00.000+00:00","2012-06-09T00:00:00.000+00:00","2012-07-16T00:00:00.000+00:00","2009-12-31T00:00:00.000+00:00","2012-07-30T00:00:00.000+00:00",100,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,6,1,"Diagnostic test|Suspicion|Clinical","Resolved","Recurrence"
1259,"Canada","CAN","Newfoundland","Infectious salmon anaemia ",null,"Diseases of fish","Virus","Atlantic salmon",0,"Farm",0,1,47.6878,-56.0367,0,"2012-06-19T00:00:00.000+00:00","2012-07-06T00:00:00.000+00:00","2013-08-08T00:00:00.000+00:00","2012-06-19T00:00:00.000+00:00","2013-08-08T00:00:00.000+00:00",null,"2013-09-27T00:00:00.000+00:00",480000,0,0,480000,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,16,3,"Diagnostic test","Resolved","First occurrence"
1260,"Japan","JPN","Iwate","Maedi-visna ",null,"Caprinae","Virus","Sheep",0,"Farm",0,0,39.702056,141.154442,0,"2012-04-03T00:00:00.000+00:00","2012-07-03T00:00:00.000+00:00","2012-10-05T00:00:00.000+00:00","2012-04-03T00:00:00.000+00:00","2012-10-05T00:00:00.000+00:00",null,"2012-10-19T00:00:00.000+00:00",24,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,1,"Diagnostic test","Resolved","First occurrence"
1261,"Germany","DEU","Sachsen-Anhalt","Anthrax ",null,"Multiple species","Bacterium","Cattle",0,"Farm",0,0,52.968626,11.627618,0,"2012-07-11T00:00:00.000+00:00","2012-07-12T00:00:00.000+00:00","2012-08-01T00:00:00.000+00:00","2012-07-11T00:00:00.000+00:00","2012-08-01T00:00:00.000+00:00","2009-08-07T00:00:00.000+00:00","2012-08-08T00:00:00.000+00:00",55,8,8,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6,2,"Diagnostic test|Necropsy|Clinical|Suspicion","Resolved","Recurrence"
1262,"Chinese Taipei","TWN","Taoyuan County (2005-2014)","Highly pathogenic avian influenza ","H5N1","Aves","Virus","Birds",0,"Not applicable",0,0,25.0435,121.1326,0,"2012-07-07T00:00:00.000+00:00","2012-07-16T00:00:00.000+00:00","2012-07-07T00:00:00.000+00:00","2012-07-07T00:00:00.000+00:00","2012-07-07T00:00:00.000+00:00",null,"2012-07-17T00:00:00.000+00:00",38,37,0,38,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,6,3,"Diagnostic test","Resolved","First occurrence"
1263,"Ecuador","ECU","Manabí","Avian infectious laryngotracheitis ",null,"Aves","Virus","Birds",0,"Farm",0,0,0.3153747172,-79.4639765,0,"2012-04-13T00:00:00.000+00:00","2012-05-24T00:00:00.000+00:00","2012-08-30T00:00:00.000+00:00","2012-04-13T00:00:00.000+00:00","2012-08-30T00:00:00.000+00:00",null,"2012-09-10T00:00:00.000+00:00",153000,1530,1530,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,18,1,"Diagnostic test","Resolved","First occurrence"
1264,"Brunei","BRN","Brunei","White spot disease ",null,"Diseases of crustaceans","Virus","Blue shrimp",0,"Farm",0,1,4.72242,114.5427,0,"2012-04-04T00:00:00.000+00:00","2012-04-04T00:00:00.000+00:00","2012-05-01T00:00:00.000+00:00","2012-04-04T00:00:00.000+00:00","2012-05-01T00:00:00.000+00:00","2011-05-01T00:00:00.000+00:00","2012-10-21T00:00:00.000+00:00",152261,0,0,123462,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,32,0,"Diagnostic test","Resolved","Recurrence"
1265,"Switzerland","CHE","Thurgau","Schmallenberg virus (Inf. with)",null,null,"Virus","Cattle",0,"Farm",0,0,47.536,8.998,0,"2012-07-17T00:00:00.000+00:00","2012-07-17T00:00:00.000+00:00","2012-08-10T00:00:00.000+00:00","2012-08-03T00:00:00.000+00:00","2012-08-10T00:00:00.000+00:00",null,"2012-08-13T00:00:00.000+00:00",1630,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,"Diagnostic test","Resolved","Emerging disease"
1266,"South Africa","ZAF","Western Cape Province","Low pathogenic avian influenza (poultry)(2006-)","H5N2","Aves","Virus","Birds",0,"Farm",1,0,-34.225,20.87083,0,"2012-06-01T00:00:00.000+00:00","2012-06-29T00:00:00.000+00:00","2014-05-20T00:00:00.000+00:00","2013-10-01T00:00:00.000+00:00","2014-01-01T00:00:00.000+00:00","2012-05-11T00:00:00.000+00:00","2014-06-13T00:00:00.000+00:00",26750,6049,1,0,1379,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,6,1,"Diagnostic test","Resolved","Recurrence"
1267,"Israel","ISR","Hazafon","Lumpy skin disease ",null,"Bovidae","Virus","Cattle",0,"Farm",0,0,32.594573016,35.159466186,0,"2012-07-01T00:00:00.000+00:00","2012-07-27T00:00:00.000+00:00","2013-09-10T00:00:00.000+00:00","2013-08-29T00:00:00.000+00:00","2013-09-10T00:00:00.000+00:00","2007-11-30T00:00:00.000+00:00","2013-12-21T00:00:00.000+00:00",54462,5701,618,353,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,14,3,"Necropsy|Diagnostic test|Suspicion|Clinical","Resolved","Recurrence"
1268,"Greece","GRC","Anatoliki Makedonia Kai Thraki","West Nile Fever ",null,"Multiple species","Virus","Equidae",0,"Farm",0,0,40.98,24.7,0,"2012-07-19T00:00:00.000+00:00","2012-07-26T00:00:00.000+00:00","2013-11-01T00:00:00.000+00:00","2013-09-30T00:00:00.000+00:00","2013-11-01T00:00:00.000+00:00","2011-12-31T00:00:00.000+00:00","2014-07-09T00:00:00.000+00:00",659,30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,"Diagnostic test","Resolved","Recurrence"
1269,"Ukraine","UKR","Zaporozh'Ye","African swine fever ",null,"Suidae","Virus","Swine",0,"Village",0,0,46.7224,36.2856,0,"2012-07-30T00:00:00.000+00:00","2012-07-31T00:00:00.000+00:00","2012-12-28T00:00:00.000+00:00","2012-07-30T00:00:00.000+00:00","2012-12-28T00:00:00.000+00:00",null,"2013-01-03T00:00:00.000+00:00",5,3,3,2,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,10,1,"Necropsy|Diagnostic test","Resolved","First occurrence"
1270,"Tunisia","TUN","Bizerte","Peste des petits ruminants ",null,"Caprinae","Virus","Goats",0,"Farm",0,0,37.235659,9.910183,0,"2012-05-30T00:00:00.000+00:00","2012-07-17T00:00:00.000+00:00","2013-01-11T00:00:00.000+00:00","2012-07-01T00:00:00.000+00:00","2012-07-31T00:00:00.000+00:00","2012-04-16T00:00:00.000+00:00","2013-02-15T00:00:00.000+00:00",44,15,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,"Diagnostic test|Clinical","Resolved","Recurrence"
1271,"Netherlands","NLD","Utrecht","Low pathogenic avian influenza (poultry)(2006-)","H7N7","Aves","Virus","Birds",0,"Farm",1,0,51.97,5.12,0,"2012-08-09T00:00:00.000+00:00","2012-08-10T00:00:00.000+00:00","2012-11-05T00:00:00.000+00:00","2012-08-09T00:00:00.000+00:00","2012-11-05T00:00:00.000+00:00","2012-06-20T00:00:00.000+00:00","2012-11-05T00:00:00.000+00:00",31870,0,0,31870,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,8,1,"Diagnostic test","Resolved","Recurrence"
1272,"Greece","GRC","Voreio Aigaio","Myxomatosis ",null,"Leporidae","Virus","Wildlife (species unspecified)",1,"Not applicable",0,0,39.93,25.23,0,"2012-07-12T00:00:00.000+00:00","2012-07-23T00:00:00.000+00:00","2012-07-12T00:00:00.000+00:00","2012-07-12T00:00:00.000+00:00","2012-07-12T00:00:00.000+00:00","2011-12-31T00:00:00.000+00:00","2012-08-17T00:00:00.000+00:00",0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,"Diagnostic test","Resolved","Recurrence"
1273,"Romania","ROU","Ialomita","European foulbrood of honey bees ",null,"Apidae","Bacterium","Bees",0,"Apiary",1,0,44.58,27.6,0,"2012-07-24T00:00:00.000+00:00","2012-07-26T00:00:00.000+00:00","2012-10-26T00:00:00.000+00:00","2012-07-24T00:00:00.000+00:00","2012-10-26T00:00:00.000+00:00","2006-12-31T00:00:00.000+00:00","2012-10-30T00:00:00.000+00:00",105,53,53,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,12,3,"Diagnostic test","Resolved","Recurrence"
1274,"Israel","ISR","Hazafon","Anthrax ",null,"Multiple species","Bacterium","Cattle",0,"Village",0,0,32.9799306959,35.8075276374,0,"2012-08-08T00:00:00.000+00:00","2012-08-19T00:00:00.000+00:00","2012-08-20T00:00:00.000+00:00","2012-08-08T00:00:00.000+00:00","2012-08-20T00:00:00.000+00:00","2009-07-31T00:00:00.000+00:00","2012-08-29T00:00:00.000+00:00",174,8,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,3,"Diagnostic test|Suspicion|Clinical","Resolved","Recurrence"
1275,"Ukraine","UKR","Zaporozh'Ye","Anthrax ",null,"Multiple species","Bacterium","Cattle",0,"Village",0,0,46.5208,35.2739,0,"2012-08-15T00:00:00.000+00:00","2012-08-18T00:00:00.000+00:00","2012-08-18T00:00:00.000+00:00","2012-08-15T00:00:00.000+00:00","2012-08-18T00:00:00.000+00:00",null,"2012-08-20T00:00:00.000+00:00",4,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,8,3,"Diagnostic test","Resolved","First occurrence"
1276,"Croatia","HRV","Viroviticko-Podravska","West Nile Fever ",null,"Multiple species","Virus","Equidae",0,"Farm",0,0,45.702038,17.690213,0,"2012-07-18T00:00:00.000+00:00","2012-08-21T00:00:00.000+00:00","2012-11-08T00:00:00.000+00:00","2012-11-07T00:00:00.000+00:00","2012-11-08T00:00:00.000+00:00",null,"2012-11-08T00:00:00.000+00:00",87,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Diagnostic test","Resolved","First occurrence"
1277,"Azerbaijan","AZE","Gakh","Anthrax ",null,"Multiple species","Bacterium","Cattle",0,"Farm",0,0,41.3599,46.6937,0,"2012-08-15T00:00:00.000+00:00","2012-08-22T00:00:00.000+00:00","2012-08-22T00:00:00.000+00:00","2012-08-15T00:00:00.000+00:00","2012-08-22T00:00:00.000+00:00","2008-08-31T00:00:00.000+00:00","2012-08-23T00:00:00.000+00:00",4,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6,1,"Diagnostic test","Resolved","Recurrence"
1278,"Norway","NOR","More Og Romsdal","Avian infectious laryngotracheitis ",null,"Aves","Virus","Birds",0,"Not applicable",0,0,62.95742,7.10114,0,"2012-07-31T00:00:00.000+00:00","2012-08-23T00:00:00.000+00:00","2012-12-01T00:00:00.000+00:00","2012-07-31T00:00:00.000+00:00","2012-12-01T00:00:00.000+00:00","2012-04-30T00:00:00.000+00:00","2013-02-21T00:00:00.000+00:00",24,12,2,22,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,"Diagnostic test|Necropsy|Clinical","Resolved","Recurrence"
1279,"United States of America","USA","North Carolina","Bonamia exitiosa (Inf. with)",null,"Diseases of molluscs","Parasite","Eastern oyster
",0,"Farm",0,1,34.856,-76.4,0,"2012-07-30T00:00:00.000+00:00","2012-08-23T00:00:00.000+00:00","2013-02-15T00:00:00.000+00:00","2012-07-30T00:00:00.000+00:00","2013-02-15T00:00:00.000+00:00",null,"2013-02-15T00:00:00.000+00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Diagnostic test","Resolved","Listed disease occurring in a new host species"
1280,"Samoa","WSM","Western Samoa","American foulbrood of honey bees ",null,"Apidae","Bacterium","Bees",0,"Apiary",1,0,-13.8438,-171.7544,0,"2012-07-12T00:00:00.000+00:00","2012-07-12T00:00:00.000+00:00","2016-10-02T00:00:00.000+00:00","2012-07-12T00:00:00.000+00:00","2022-12-31T00:00:00.000+00:00",null,"2016-10-02T00:00:00.000+00:00",12,4,1,3,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,12,0,"Clinical","Stable","First occurrence in a zone or a compartment"
1281,"Israel","ISR","Hadarom","Newcastle disease ",null,"Aves","Virus","Birds",0,"Village",0,0,31.2189743134,34.8809902308,0,"2012-08-26T00:00:00.000+00:00","2012-08-29T00:00:00.000+00:00","2012-08-30T00:00:00.000+00:00","2012-08-26T00:00:00.000+00:00","2012-08-30T00:00:00.000+00:00","2012-06-30T00:00:00.000+00:00","2012-09-19T00:00:00.000+00:00",38000,7500,2000,36000,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,10,2,"Necropsy|Diagnostic test|Suspicion|Clinical","Resolved","Recurrence"
1282,"Italy","ITA","Sicilia","Anthrax ",null,"Multiple species","Bacterium","Cattle",0,"Farm",0,0,38.01009,13.37378,0,"2012-08-23T00:00:00.000+00:00","2012-08-25T00:00:00.000+00:00","2012-10-31T00:00:00.000+00:00","2012-09-13T00:00:00.000+00:00","2012-10-31T00:00:00.000+00:00","2011-10-27T00:00:00.000+00:00","2012-11-23T00:00:00.000+00:00",43,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,2,"Diagnostic test|Clinical","Resolved","Recurrence"
